attribute,weights
Crunchy,"{'00073-09': Decimal('1'), '00039-11': Decimal('1'), '00064-11': Decimal('1'), '00021-09': Decimal('1'), '00068-11': Decimal('1'), '00002-05': Decimal('1'), '00077-08': Decimal('1'), '00038-06': Decimal('1'), '00074-11': Decimal('1'), '00054-05': Decimal('1'), '00015-01': Decimal('1'), '00054-11': Decimal('1'), '00009-06': Decimal('1'), '00024-02': Decimal('1'), '00009-01': Decimal('1'), '00047-03': Decimal('1'), '00066-01': Decimal('1'), '00043-02': Decimal('1'), '00018-04': Decimal('1'), '00067-12': Decimal('1'), '00043-05': Decimal('1'), '00022-05': Decimal('1'), '00053-03': Decimal('1'), '00053-04': Decimal('1'), '00039-03': Decimal('1'), '00057-08': Decimal('1'), '00008-04': Decimal('1'), '00011-04': Decimal('1'), '00032-06': Decimal('1'), '00029-06': Decimal('1'), '00042-02': Decimal('1'), '00036-02': Decimal('1'), '00052-02': Decimal('1'), '00018-10': Decimal('1'), '00055-02': Decimal('1'), '00010-07': Decimal('1'), '00007-05': Decimal('1'), '00003-02': Decimal('1'), '00062-07': Decimal('1'), '00079-11': Decimal('2'), '00026-02': Decimal('1'), '00045-03': Decimal('1'), '00020-02': Decimal('1'), '00045-09': Decimal('1'), '00024-05': Decimal('1'), '00020-09': Decimal('1'), '00072-04': Decimal('1'), '00058-02': Decimal('1'), '00016-01': Decimal('1'), '00055-03': Decimal('1'), '00030-02': Decimal('1'), '00006-06': Decimal('1'), '00061-03': Decimal('1'), '00007-12': Decimal('1'), '00065-04': Decimal('1')}"
Jangly,"{'00021-05': Decimal('1'), '00065-01': Decimal('1'), '00071-05': Decimal('1'), '00021-06': Decimal('1'), '00002-05': Decimal('1'), '00013-03': Decimal('1'), '00013-01': Decimal('1'), '00056-10': Decimal('1'), '00033-12': Decimal('1'), '00037-10': Decimal('1'), '00007-02': Decimal('1'), '00056-07': Decimal('1'), '00005-06': Decimal('1'), '00024-04': Decimal('1'), '00066-08': Decimal('1'), '00002-10': Decimal('1'), '00018-04': Decimal('1'), '00043-09': Decimal('1'), '00055-09': Decimal('1'), '00014-03': Decimal('1'), '00013-10': Decimal('1'), '00055-03': Decimal('1'), '00034-07': Decimal('1'), '00057-06': Decimal('1'), '00061-07': Decimal('1'), '00008-08': Decimal('1'), '00001-10': Decimal('1')}"
Round,"{'00068-11': Decimal('1'), '00019-07': Decimal('1'), '00050-04': Decimal('1'), '00052-02': Decimal('1'), '00059-06': Decimal('1'), '00018-11': Decimal('1'), '00019-01': Decimal('1'), '00051-12': Decimal('1'), '00056-06': Decimal('2'), '00078-03': Decimal('1'), '00003-04': Decimal('1'), '00012-05': Decimal('1'), '00041-04': Decimal('1'), '00063-11': Decimal('1'), '00047-04': Decimal('1'), '00007-01': Decimal('1'), '00062-02': Decimal('1'), '00043-01': Decimal('1'), '00043-02': Decimal('1'), '00043-04': Decimal('1'), '00065-12': Decimal('1'), '00074-08': Decimal('1'), '00051-07': Decimal('1'), '00020-06': Decimal('1'), '00020-05': Decimal('1'), '00053-07': Decimal('1'), '00014-02': Decimal('1'), '00053-04': Decimal('1'), '00055-04': Decimal('1'), '00053-01': Decimal('1'), '00070-02': Decimal('1'), '00053-02': Decimal('1'), '00032-04': Decimal('1'), '00003-10': Decimal('1'), '00008-03': Decimal('1'), '00063-09': Decimal('1'), '00015-07': Decimal('1'), '00009-10': Decimal('1'), '00027-06': Decimal('1'), '00017-09': Decimal('1'), '00048-01': Decimal('1'), '00040-02': Decimal('1'), '00080-05': Decimal('1'), '00062-12': Decimal('1'), '00005-10': Decimal('1')}"
Tinny,"{'00067-02': Decimal('1'), '00066-10': Decimal('1'), '00067-01': Decimal('1'), '00021-06': Decimal('1'), '00036-05': Decimal('1'), '00013-02': Decimal('1'), '00038-01': Decimal('1'), '00019-01': Decimal('1'), '00035-07': Decimal('2'), '00005-06': Decimal('1'), '00033-08': Decimal('1'), '00067-12': Decimal('1'), '00049-08': Decimal('1'), '00022-04': Decimal('1'), '00051-04': Decimal('1'), '00014-05': Decimal('1'), '00059-12': Decimal('1'), '00052-11': Decimal('1'), '00029-01': Decimal('1'), '00057-05': Decimal('1'), '00008-05': Decimal('1'), '00003-10': Decimal('1'), '00015-07': Decimal('1'), '00022-12': Decimal('1'), '00029-02': Decimal('1')}"
Light,"{'00067-02': Decimal('1'), '00046-07': Decimal('1'), '00049-09': Decimal('1'), '00068-01': Decimal('1'), '00050-06': Decimal('1'), '00020-09': Decimal('1'), '00054-05': Decimal('1'), '00012-10': Decimal('1'), '00033-10': Decimal('1'), '00054-02': Decimal('1'), '00015-10': Decimal('1'), '00019-01': Decimal('1'), '00060-08': Decimal('1'), '00079-01': Decimal('1'), '00006-03': Decimal('1'), '00036-08': Decimal('1'), '00026-03': Decimal('1'), '00022-12': Decimal('1'), '00041-05': Decimal('1'), '00027-03': Decimal('1'), '00026-02': Decimal('1')}"
Hollow,"{'00046-08': Decimal('1'), '00069-03': Decimal('1'), '00071-09': Decimal('1'), '00044-09': Decimal('1'), '00036-02': Decimal('1'), '00050-04': Decimal('1'), '00036-05': Decimal('1'), '00052-03': Decimal('1'), '00030-12': Decimal('1'), '00078-03': Decimal('1'), '00031-06': Decimal('1'), '00003-03': Decimal('1'), '00045-03': Decimal('1'), '00062-02': Decimal('1'), '00022-09': Decimal('1'), '00024-05': Decimal('1'), '00014-04': Decimal('1'), '00005-09': Decimal('1'), '00003-07': Decimal('1'), '00056-01': Decimal('1'), '00017-11': Decimal('1'), '00054-01': Decimal('1'), '00011-09': Decimal('1'), '00036-06': Decimal('1'), '00038-08': Decimal('1'), '00009-10': Decimal('1'), '00023-01': Decimal('1'), '00080-08': Decimal('1'), '00080-06': Decimal('1'), '00062-11': Decimal('1'), '00020-10': Decimal('1'), '00063-02': Decimal('1')}"
Anemic,"{'00071-09': Decimal('1'), '00069-10': Decimal('1'), '00004-08': Decimal('1'), '00059-02': Decimal('1'), '00058-02': Decimal('1'), '00016-12': Decimal('1'), '00050-12': Decimal('1'), '00035-06': Decimal('1'), '00031-06': Decimal('1'), '00030-04': Decimal('1'), '00024-01': Decimal('1'), '00066-07': Decimal('1'), '00026-11': Decimal('1'), '00064-03': Decimal('1'), '00062-02': Decimal('1')}"
Dark,"{'00042-02': Decimal('1'), '00069-03': Decimal('1'), '00048-08': Decimal('1'), '00046-06': Decimal('1'), '00021-02': Decimal('1'), '00021-08': Decimal('1'), '00071-09': Decimal('1'), '00052-07': Decimal('1'), '00056-10': Decimal('1'), '00059-04': Decimal('1'), '00073-06': Decimal('1'), '00018-11': Decimal('1'), '00073-03': Decimal('1'), '00009-07': Decimal('1'), '00078-03': Decimal('1'), '00077-12': Decimal('1'), '00058-09': Decimal('1'), '00014-08': Decimal('1'), '00062-08': Decimal('1'), '00079-11': Decimal('1'), '00033-08': Decimal('1'), '00023-11': Decimal('1'), '00068-09': Decimal('1'), '00044-10': Decimal('1'), '00047-03': Decimal('1'), '00070-05': Decimal('1'), '00022-07': Decimal('1'), '00045-04': Decimal('1'), '00018-04': Decimal('1'), '00051-08': Decimal('1'), '00018-06': Decimal('1'), '00024-06': Decimal('1'), '00037-05': Decimal('1'), '00039-02': Decimal('1'), '00053-04': Decimal('1'), '00055-05': Decimal('1'), '00070-03': Decimal('1'), '00076-10': Decimal('1'), '00006-01': Decimal('1'), '00011-03': Decimal('1'), '00024-11': Decimal('1')}"
Loose,"{'00041-10': Decimal('1'), '00068-11': Decimal('1'), '00042-05': Decimal('1'), '00072-11': Decimal('1'), '00012-10': Decimal('1'), '00019-02': Decimal('1'), '00078-03': Decimal('1'), '00029-10': Decimal('1'), '00007-02': Decimal('1'), '00037-08': Decimal('1'), '00062-08': Decimal('1'), '00075-10': Decimal('1'), '00079-11': Decimal('1'), '00061-11': Decimal('1'), '00045-02': Decimal('1'), '00060-01': Decimal('2'), '00065-10': Decimal('1'), '00074-08': Decimal('1'), '00045-09': Decimal('1'), '00037-04': Decimal('1'), '00013-12': Decimal('1'), '00016-03': Decimal('1'), '00032-11': Decimal('1'), '00055-12': Decimal('1'), '00028-11': Decimal('1'), '00003-11': Decimal('1'), '00036-07': Decimal('1'), '00048-01': Decimal('1'), '00049-12': Decimal('1'), '00008-01': Decimal('1'), '00063-02': Decimal('1')}"
Vocal,"{'00069-01': Decimal('1'), '00021-09': Decimal('1'), '00014-04': Decimal('1'), '00013-04': Decimal('1'), '00014-05': Decimal('1'), '00036-03': Decimal('1'), '00052-02': Decimal('1'), '00029-12': Decimal('1'), '00012-09': Decimal('1'), '00008-04': Decimal('1'), '00005-05': Decimal('1'), '00003-03': Decimal('1'), '00009-02': Decimal('1'), '00045-03': Decimal('1'), '00046-01': Decimal('1')}"
