attribute,weights
Crunchy,"{'00066-12': Decimal('1'), '00067-03': Decimal('1'), '00046-05': Decimal('1'), '00072-06': Decimal('1'), '00074-08': Decimal('1'), '00051-07': Decimal('1'), '00014-04': Decimal('1'), '00042-09': Decimal('1'), '00036-04': Decimal('1'), '00013-01': Decimal('1'), '00013-02': Decimal('1'), '00016-03': Decimal('1'), '00011-06': Decimal('1'), '00007-06': Decimal('1'), '00048-02': Decimal('1'), '00068-05': Decimal('1'), '00025-11': Decimal('1')}"
Jangly,"{'00070-07': Decimal('1'), '00018-06': Decimal('1'), '00022-03': Decimal('1'), '00034-10': Decimal('1'), '00076-07': Decimal('1'), '00036-04': Decimal('1'), '00058-12': Decimal('1'), '00077-09': Decimal('1'), '00059-05': Decimal('1'), '00015-10': Decimal('1'), '00007-08': Decimal('1'), '00061-08': Decimal('1'), '00045-10': Decimal('2'), '00065-09': Decimal('1'), '00026-05': Decimal('1'), '00026-01': Decimal('1')}"
Round,"{'00022-09': Decimal('1'), '00021-02': Decimal('1'), '00013-03': Decimal('1'), '00012-12': Decimal('1'), '00059-12': Decimal('1'), '00054-03': Decimal('1'), '00071-01': Decimal('1'), '00078-06': Decimal('1'), '00007-04': Decimal('1'), '00005-12': Decimal('1'), '00041-05': Decimal('1'), '00043-11': Decimal('1'), '00042-10': Decimal('1'), '00046-02': Decimal('1')}"
Tinny,"{'00046-05': Decimal('1'), '00019-05': Decimal('1'), '00017-08': Decimal('1'), '00003-07': Decimal('1'), '00014-02': Decimal('1'), '00036-10': Decimal('1'), '00057-04': Decimal('1'), '00071-02': Decimal('1'), '00004-01': Decimal('1'), '00004-05': Decimal('1'), '00008-08': Decimal('1'), '00060-11': Decimal('1'), '00024-01': Decimal('1'), '00001-12': Decimal('1'), '00045-10': Decimal('1'), '00028-12': Decimal('1'), '00028-02': Decimal('1'), '00061-01': Decimal('1')}"
Light,"{'00065-10': Decimal('1'), '00069-01': Decimal('1'), '00023-07': Decimal('1'), '00059-10': Decimal('1'), '00006-09': Decimal('1'), '00015-03': Decimal('1'), '00054-03': Decimal('1'), '00038-08': Decimal('1'), '00010-03': Decimal('1'), '00063-09': Decimal('1'), '00015-08': Decimal('1'), '00011-05': Decimal('1'), '00048-12': Decimal('1'), '00025-02': Decimal('1'), '00063-01': Decimal('1'), '00006-10': Decimal('1'), '00060-01': Decimal('1')}"
Hollow,"{'00037-03': Decimal('1'), '00050-03': Decimal('1'), '00004-09': Decimal('1'), '00057-01': Decimal('1'), '00032-01': Decimal('1'), '00054-10': Decimal('1'), '00014-08': Decimal('1'), '00005-05': Decimal('1'), '00038-09': Decimal('1'), '00080-09': Decimal('1'), '00062-06': Decimal('1'), '00049-07': Decimal('1'), '00040-11': Decimal('1')}"
Anemic,"{'00011-07': Decimal('1'), '00005-02': Decimal('1'), '00052-08': Decimal('1'), '00010-04': Decimal('1'), '00023-01': Decimal('1'), '00057-10': Decimal('1'), '00039-02': Decimal('1'), '00016-02': Decimal('1'), '00044-12': Decimal('1')}"
Dark,"{'00007-04': Decimal('1'), '00041-10': Decimal('1'), '00079-04': Decimal('1'), '00047-07': Decimal('1'), '00051-07': Decimal('1'), '00001-06': Decimal('1'), '00056-09': Decimal('1'), '00013-05': Decimal('1'), '00024-08': Decimal('1'), '00022-06': Decimal('1'), '00037-11': Decimal('1'), '00039-01': Decimal('1')}"
Loose,"{'00068-02': Decimal('1'), '00002-09': Decimal('1'), '00010-11': Decimal('1'), '00076-02': Decimal('1'), '00050-11': Decimal('1'), '00035-01': Decimal('1'), '00005-12': Decimal('1'), '00030-11': Decimal('1'), '00031-07': Decimal('1'), '00024-02': Decimal('1'), '00047-11': Decimal('1'), '00023-12': Decimal('1'), '00028-01': Decimal('1'), '00049-05': Decimal('1'), '00006-11': Decimal('1'), '00063-03': Decimal('1'), '00027-01': Decimal('1')}"
Vocal,"{'00007-05': Decimal('1'), '00021-02': Decimal('1'), '00010-03': Decimal('1'), '00004-05': Decimal('1'), '00029-09': Decimal('1'), '00077-03': Decimal('1'), '00056-12': Decimal('1'), '00041-01': Decimal('1')}"
Thin,"{'00002-08': Decimal('1'), '00017-07': Decimal('1'), '00051-09': Decimal('1'), '00015-06': Decimal('1'), '00073-01': Decimal('1'), '00037-04': Decimal('1'), '00050-10': Decimal('1'), '00038-11': Decimal('1'), '00050-12': Decimal('1'), '00052-11': Decimal('1'), '00035-01': Decimal('1'), '00035-12': Decimal('1'), '00054-11': Decimal('1'), '00055-10': Decimal('1'), '00003-05': Decimal('1'), '00048-12': Decimal('1'), '00080-09': Decimal('1'), '00029-06': Decimal('1'), '00028-04': Decimal('1'), '00028-01': Decimal('1')}"
