attribute,weights
Crunchy,"{'00076-07': Decimal('1'), '00039-12': Decimal('1'), '00032-07': Decimal('1'), '00060-12': Decimal('1')}"
Jangly,"{'00009-06': Decimal('1'), '00072-06': Decimal('1'), '00041-09': Decimal('1'), '00058-12': Decimal('1'), '00020-09': Decimal('1'), '00032-12': Decimal('1'), '00043-11': Decimal('1'), '00027-11': Decimal('1')}"
Round,{}
Tinny,"{'00071-11': Decimal('1'), '00045-10': Decimal('1'), '00064-11': Decimal('1'), '00056-10': Decimal('1'), '00046-12': Decimal('1'), '00044-12': Decimal('1')}"
Light,"{'00075-03': Decimal('1'), '00015-03': Decimal('1')}"
Hollow,{}
Anemic,{}
Dark,"{'00058-07': Decimal('1'), '00034-03': Decimal('1'), '00013-07': Decimal('1'), '00052-03': Decimal('1'), '00021-07': Decimal('1'), '00078-07': Decimal('1')}"
Loose,"{'00060-02': Decimal('1'), '00054-02': Decimal('1')}"
Vocal,"{'00011-11': Decimal('1'), '00073-02': Decimal('1'), '00022-11': Decimal('1'), '00058-09': Decimal('1'), '00075-02': Decimal('1'), '00041-09': Decimal('1')}"
Thin,"{'00049-11': Decimal('1'), '00030-02': Decimal('1'), '00002-11': Decimal('1'), '00027-02': Decimal('1'), '00007-10': Decimal('1'), '00014-10': Decimal('1')}"
Sizzling,"{'00060-11': Decimal('1'), '00040-11': Decimal('1')}"
Bell-like,"{'00074-09': Decimal('1'), '00018-04': Decimal('1'), '00074-08': Decimal('1'), '00053-09': Decimal('1'), '00025-09': Decimal('1'), '00052-09': Decimal('1'), '00070-12': Decimal('1'), '00031-12': Decimal('1'), '00004-12': Decimal('1'), '00061-06': Decimal('1'), '00035-09': Decimal('1'), '00026-04': Decimal('1'), '00062-03': Decimal('1'), '00023-12': Decimal('1'), '00028-06': Decimal('1'), '00067-09': Decimal('1'), '00065-03': Decimal('1'), '00068-08': Decimal('1')}"
Refined,"{'00050-10': Decimal('1'), '00072-10': Decimal('1')}"
Flabby,"{'00080-01': Decimal('1'), '00049-01': Decimal('1'), '00077-01': Decimal('1'), '00048-07': Decimal('1'), '00063-07': Decimal('1'), '00021-01': Decimal('1')}"
Articulate,{}
Artificial,"{'00008-05': Decimal('1'), '00041-05': Decimal('1'), '00023-03': Decimal('1'), '00022-03': Decimal('1')}"
Vibrant,"{'00010-10': Decimal('1'), '00010-09': Decimal('1'), '00013-09': Decimal('1'), '00044-10': Decimal('1')}"
Bassy,"{'00002-07': Decimal('1'), '00021-07': Decimal('1')}"
Choked,"{'00001-05': Decimal('1'), '00051-05': Decimal('1')}"
Balanced,"{'00050-12': Decimal('1'), '00041-12': Decimal('1')}"
