Abrasive, 24
Scooped, 19
Flabby, 8
Twangy, 24
Honky, 8
Boxy, 9
Crunchy, 36
Cutting, 8
Detailed, 3
Distorted, 57
Clear, 19
Compressed, 36
Shrill, 13
Nasal, 22
Vocal, 7
Aggressive, 33
Artificial, 5
Chunky, 13
Choked, 9
Buzzy, 30
Brutal, 5
Harsh, 15
Fuzzy, 29
Piercing, 10
Dark, 28
Dirty, 26
Edgy, 10
Sharp, 19
Bright, 32
Articulate, 16
Full, 17
Dry, 13
Gritty, 25
Fizzy, 26
Brittle, 14
Saturated, 26
Muddy, 16
Hairy, 14
Airy, 7
Open, 9
Sizzling, 10
Noisy, 10
Biting, 9
Hissing, 6
Icepicky, 3
Bassy, 6
Raw, 14
Round, 32
Thick, 39
Muffled, 36
Loose, 15
Vintage, 8
Warm, 12
Strained, 2
Muted, 14
Dull, 20
Balanced, 12
Mellow, 3
Dynamic, 7
Soft, 4
Raspy, 4
Anemic, 6
Thin, 20
Boomy, 17
Grind, 7
Tinny, 8
Heavy, 11
Huge, 5
Throaty, 7
Crushing, 6
Chewy, 5
Metallic, 2
Chug, 12
Hollow, 19
Jangly, 10
Clean, 19
Bold, 6
Fat, 5
Flat, 12
Tight, 16
Big, 10
Grunting, 1
Delicate, 2
Light, 4
Punchy, 9
Brilliant, 7
Smooth, 6
Crisp, 4
Pure, 3
Rich, 2
Focused, 10
Refined, 4
Searing, 11
Shimmery, 9
Glassy, 3
Chimey, 6
Bell-like, 10
Smokey, 1
Velvety, 1
Ringing, 16
Lush, 2
Sterile, 2
Thumping, 6
Liquidy, 1
Vibrant, 2
Sparkly, 3
